title,price_gbp,rating_numeric,availability,product_link,page,title_length,is_expensive,price_level,rating_level,price_usd,normalized_price,price_normalized,rating_normalized,price_standardized,rating_standardized
A Light in the Attic,51.77,3,In stock,https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,1,20,True,High,Low,65.7479,1.1565283448527621,0.8355671134226845,0.5,1.1559499360419643,0.053659772670369844
Tipping the Velvet,53.74,1,In stock,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,1,18,True,High,Low,68.24980000000001,1.292959996974809,0.8749749949989998,0.0,1.2923133552754613,-1.3401005564301463
Soumission,50.1,1,In stock,https://books.toscrape.com/catalogue/soumission_998/index.html,1,10,True,High,Low,63.627,1.0408730864548845,0.8021604320864173,0.0,1.0403525197374262,-1.3401005564301463
Sharp Objects,47.82,4,In stock,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,1,13,True,High,High,60.7314,0.8829724941511957,0.7565513102620524,0.75,0.8825308974773381,0.750539937220628
Sapiens: A Brief History of Humankind,54.23,5,In stock,https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,1,37,True,High,High,68.8721,1.3268947733909522,0.8847769553910781,1.0,1.3262311600594272,1.4474201017708859
The Requiem Red,22.65,1,In stock,https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,1,15,False,Medium,Low,28.7655,-0.860166939306632,0.25305061012202434,0.0,-0.8597367482623173,-1.3401005564301463
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,1,50,False,Medium,High,42.341800000000006,-0.11983477626872237,0.4668933786757352,0.75,-0.11977484389374662,0.750539937220628
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,3,In stock,https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,1,87,False,Low,Low,22.7711,-1.1870488672335666,0.15863172634526904,0.5,-1.1864551943446044,0.053659772670369844
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,1,94,False,Medium,High,28.702,-0.8636296715939934,0.2520504100820164,0.75,-0.8631977487504768,0.750539937220628
The Black Maria,52.15,1,In stock,https://books.toscrape.com/catalogue/the-black-maria_991/index.html,1,15,True,High,Low,66.23049999999999,1.18284511023671,0.8431686337267453,0.0,1.1822535397519787,-1.3401005564301463
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,2,In stock,https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,1,46,False,Low,Low,17.7673,-1.4599121714776604,0.07981596319263853,0.25,-1.4591820328115985,-0.6432203918798882
Shakespeare's Sonnets,20.66,4,In stock,https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,1,21,False,Medium,High,26.2382,-0.9979836843436235,0.21324264852970592,0.75,-0.9974845676910782,0.750539937220628
Set Me Free,17.46,5,In stock,https://books.toscrape.com/catalogue/set-me-free_988/index.html,1,11,False,Low,High,22.174200000000003,-1.2195985507347655,0.14922984596919384,1.0,-1.218988598933307,1.4474201017708859
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,1,55,True,High,High,66.4083,1.1925407606413223,0.8459691938387677,1.0,1.1919443411188262,1.4474201017708859
Rip it Up and Start Again,35.02,5,In stock,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,1,25,False,Medium,High,44.47540000000001,-0.003486971413372751,0.500500100020004,1.0,-0.0034852274915765664,1.4474201017708859
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,In stock,https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,1,82,True,High,Low,72.7075,1.5360438035475927,0.9451890378075615,0.5,1.535275589544281,0.053659772670369844
Olio,23.88,1,In stock,https://books.toscrape.com/catalogue/olio_984/index.html,1,4,False,Medium,Low,30.3276,-0.7749837250375368,0.2776555311062212,0.0,-0.7745961362535856,-1.3401005564301463
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,In stock,https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,1,53,True,Medium,Low,47.73930000000001,0.17449746815701334,0.5519103820764153,0.0,0.1744101975998384,-1.3401005564301463
